번호,유형,직무,초기 복합 사건,주입1,선택1·재료,주입2,선택2·재료,첫 전개 도달 상태,첫 판정,보완 후 재전개,최종 판정,검토 방식
128,고용형,생산관리,긴급 주문·설비 고장·자재 부족이 겹치고 라인별 전환·숙련·검사 제약 때문에 단순 우선순위 변경으로 납기를 맞출 수 없음,설비 고장·자재 부족으로 병목능력 감소,M25·M53: 작업순서·전환·검사·인력 포함 재계획,"추가 자원·외주·분할납품 불허, 요구 수량이 최대 능력 초과",M34·M35: 품질 생략 대신 미달 수량·일정 대안 제시,원래 품질·물량·납기 동시 달성 불가능,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
129,고용형,품질관리,출하 합격품이 고객 공정에서 불량을 내고 측정기 차이·로트 혼입·공급사 변경 때문에 원인이 갈림,측정기 이상 여부는 교정 시험으로만 알 수 있는데 이상 확인 뒤에만 시험을 켬,M18·M35: 품질 판정에 선행하는 측정 신뢰 확인이 순환 대기,생산팀은 불량 확정 전 계측 비용 집행을 막음,M31·M54: 진단 권한·관측 의존과 생산 변경 조건을 따로 정해야 함,조건 확인 기능의 선행 의존·권한 명시 강화 필요,조건 명세 강화 필요,판정용 교정·측정 신뢰 확인을 생산 변경과 분리해 준비. 실제 계측·교정 결과가 아직 없어 생산 합격으로 넘기지 않고 대기.,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
130,고용형,공정 엔지니어,속도를 높여 평균 생산량은 늘었지만 원재료 편차·설비 마모와 상호작용해 장기 수율과 다음 공정 품질이 악화됨,속도 개선 뒤 후공정 불량·설비 마모가 증가,M18·M53: 평균 산출량과 장기 수율·상호작용을 분리,모의 파일럿은 수정 조건 통과하나 장기 배치 관측이 아직 없음,M54·M51: 확대 조건·추적 기간·중단 신호 설정,"공정 개선 후보 가능, 지속 양산 효과는 관측 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
131,고용형,물류,항만 지연·냉장 이탈·부분 분실이 겹쳐 고객 납기와 대체운송 비용·보험·반품 처리를 함께 결정해야 함,배송 지연 중 온도 이탈·부분 분실 확인,M07·M25·M53: 위치·품질·대체 운송·회수 비용으로 분기,실물 상태·인수 주체의 확인이 늦어짐,M35·M38·M39: 고객 안내·운송사 조정·검수·클레임 연결,"대응 계획·가능한 조치 수행, 정상 인도·손해 확정 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
132,고용형,재고·자재,장부상 재고는 충분하지만 불량 격리·위탁·예약·유통기한·로트 위치 때문에 실제 생산에 쓸 수 없는 자재가 많음,장부 재고에 불량·예약·위탁·만료분이 혼재,M25·M52: 소유·수량·위치·가용 상태로 분해,모의 실사와 수불 대사가 가용 재고를 확인,M53·M42: 보충·이동·처분·생산 인계 갱신,제공된 실사 아래 재고 정정·운영 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
133,고용형,SCM 계획 (수요예측·S&OP),영업의 낙관 예측·판촉·장기 조달·생산 능력·현금 부족이 충돌하고 품절로 관측 수요 자체가 낮게 잡힘,품절로 수요가 낮게 관측되고 판촉 예측은 과대,M52·M53: 검열 수요·편향·공급·현금 제약 통합,서비스 목표·재고 상한·예산을 고정하면 공급 계획에 해가 없음,M04·M38: 부서별 목표의 교환과 조정 선택 제시,고정된 S&OP 목표의 동시 실행 불가능,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
134,고용형,수출입,송장·포장·원산지·신용장 조건이 서로 달라 선적은 됐지만 통관·대금회수에서 보완과 지연 비용이 발생함,송장·원산지·결제 조건 불일치로 서류 하자 발생,M18·M42: 물품·수량·가격·조건 교차 대사,보완 서류는 준비되나 은행·통관의 수리 결과 미정,M35·M38·M39: 선적·제출·회수의 기한·책임 연결,"서류·보완안 가능, 통관·대금회수는 외부 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
135,고용형,R&D 연구원 (제품·기술),연구실 성능은 좋지만 측정 오차·재현성·재료 배치·양산 공정 차이로 실제 제품 성능과 원가를 만족하지 못함,성능이 측정오차인지 기술 효과인지 확인할 실험이 가설 채택 뒤에만 허용됨,M18·M35: 가설 채택의 근거와 실험 활성 조건이 서로 의존,단순 조립기는 가설 불명으로 실험을 대기,M53·M54·M50: 탐색·측정용 시험을 채택·양산 결정과 분리해야 함,조건 판정을 위한 탐색 의존 명시 강화 필요,조건 명세 강화 필요,가정 응답: 허용된 탐색 실험을 먼저 수행했지만 결과가 불명. 예산·정보 가치에 따른 추가 실험 또는 보류를 선택하며 가설 채택·양산으로 넘기지 않음.,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
136,고용형,인허가 RA (의료기기·의약품),제품 변경이 임상·성능·제조·표시 자료와 맞지 않고 국가별 경로·기관 질의가 달라 기존 자료 재사용 범위를 판단해야 함,제품 변경이 기존 시험·표시·임상 주장과 불일치,M18·M25·M26: 국가별 경로·증거 격차·제출 영향 재검토,기관이 추가 증거를 요구하고 시험기관 일정 지연,M35·M39·M40: 시험·답변·기한·미완료 제출 조건 연결,"인허가 자료·전략 가능, 시험·기관 결정 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
137,고용형,개발 기획 (시행),토지 일부 미확보·민원·인허가 조건·공사비 상승이 겹쳐 분양가를 올려도 금융 약정과 착공 조건을 충족하지 못함,일부 토지 미확보와 인허가 조건 추가로 착공 지연,M25·M33·M53: 지연·공사비·차환·분양 현금 통합,토지 협상·추가 출자·공기 조정을 모두 금지,M34·M38: 선행조건 미충족과 현금 한계 제시,기존 일정·규모·자금 조건의 사업 진행 불가,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
138,고용형,견적·적산,도면 판본과 시방이 달라 누락·중복 수량이 생기고 공법 변경·물가·현장 조건으로 단가와 공기가 함께 바뀜,도면 판본과 시방이 달라 물량 누락·중복 발생,M07·M25·M53: 객체·범위·공법별 수량·단가 재산정,모의 발주자 질의 회신이 적용 판본·공법을 확정,M42·M40: 내역·산출근거·변경비·공기 영향을 일치시킴,제공된 확정 자료 아래 견적·적산 패키지 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
139,운영형,유튜버 (정보·교육),조회가 잘 나오는 설명이 중요한 조건을 생략해 오개념을 만들고 초보·숙련 시청자의 이해·이탈 지점이 다름,시청 지속은 높은데 학습 확인에서 오개념 발견,M18·M21·M34: 생략 조건·예시·학습 순서 수정,모의 학습자가 수정 설명에서 같은 과제를 올바르게 수행,M54·M46: 이해·지연 회상·영상 설명의 연결 검토,제공된 학습 반응 아래 교육 콘텐츠 개선 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
140,운영형,유튜버 (예능·엔터),반복 포맷의 반응이 떨어지고 출연자 갈등·예상 밖 촬영 결과·스폰서 요구 때문에 웃음·관계·회차 연결이 흔들림,기존 포맷 반응 하락과 출연자 갈등 심화,M22·M38: 웃음 구조·역할·관계 소진을 분리,새 회차안은 준비되나 출연 동의·실제 반응 미확보,M35·M39·M51: 촬영·피드백·시리즈 전환 조건 관리,"기획·제작 계획 가능, 출연·시청 반응은 외부 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
141,운영형,유튜버 (리뷰·커머스),협찬사가 유리한 조건을 요구하고 샘플 편차·펌웨어 변경으로 비교 결과가 달라져 추천·제휴 매출·신뢰가 충돌함,협찬 제품이 비교시험에서 불리한 결과를 냄,M18·M54: 조건·버전·샘플 편차와 실측 재확인,모의 재시험도 같고 게시 권한은 독립 리뷰를 허용,M27·M09·M42: 결과·조건·이해관계·용도별 평가를 함께 공개안에 반영,제공된 시험·권한 아래 리뷰 제작 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
142,운영형,스트리머,게임 장애·음향 끊김·악성 채팅·후원 요청이 동시에 들어와 방송 흐름과 대응 우선순위가 무너짐,방송 장애와 악성 채팅·후원 요청 동시 발생,M08·M35·M38: 방송 유지·모더레이션·응대를 병행 분리,모의 방송 도구가 대체 장면·음향 복구·중재 결과를 반환,M10·M42·M51: 진행·약속·후원·사후 기록 확인,제공된 라이브 응답 아래 방송 지속·정리 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
143,운영형,숏폼 크리에이터,첫 장면의 강한 약속으로 노출은 늘지만 내용 불일치로 완주·신뢰가 떨어지고 플랫폼별 자막·음원 사용 조건도 다름,첫 장면 약속과 실제 내용 불일치로 이탈 증가,M22·M34: 효용·후킹·전개를 다시 맞춤,모의 변형 실험이 낮은 조회·높은 완주·목표 행동을 반환,M54·M51: 허영 지표 대신 계약상 목표로 변형 선택,제공된 반응 아래 숏폼 선정·납품 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
144,운영형,팟캐스터,원격 인터뷰 음질이 깨지고 게스트 발언을 줄이면 맥락이 달라져 분량·사실·청취 경험·협찬 조건을 조정해야 함,원격 인터뷰 녹음의 핵심 발언 일부가 손실,M07·M18: 복원 가능한 음질 문제와 사라진 발언 구분,재녹음은 불가하나 해당 구간 제외·쇼노트 보완에 출연자 동의,M09·M42·M40: 맥락·청취·전사·피드 검수,축소된 합의 범위에서 에피소드 납품 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
145,운영형,블로거,상위 유입 글의 제품·제도 정보가 낡고 유사 글끼리 경쟁하며 제휴 수익 높은 내용을 우선할 유인이 생김,상위 글의 정보가 개정됐고 유사 글들이 중복 답변,M20·M18·M25: 변경 근거·관련 주장·링크 갱신,모의 원출처 확인이 새 내용과 통합 편집안을 지지,M09·M42: 남길 설명·이동·정정·출처 일치 확인,제공된 원출처 아래 블로그 갱신 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
146,운영형,뉴스레터 작가,속보가 뒤집히고 협찬사가 다루는 기업의 비판 보도가 나와 발행 마감·사실 확인·편집 독립성이 충돌함,발송 직전 속보가 반박되고 협찬사가 정정 제외 요구,M18·M27: 사실·해설·이해관계와 편집권 확인,"편집 권한상 정정 가능, 모의 발송 전 검수도 통과",M09·M31·M42: 정정·근거·구독 대상·발송 조건 대조,주어진 권한·근거 아래 뉴스레터 발행 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
147,운영형,웹소설 작가,독자 반응에 맞춰 전개를 바꾸면 기존 복선·인물 동기·세계 규칙이 깨지고 촉박한 연재 일정에서 장기 결말이 흔들림,독자 요구대로 반전을 바꾸면 기존 인물 동기·복선이 깨짐,M25·M22·M34: 장기 인과·회차 효용에 맞는 대안 집필,모의 편집·독자 검토가 수정안의 연속성·몰입을 수용,M09·M46: 회차·설정·복선·일정 대조,제공된 반응 아래 회차 집필·연재 준비 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
148,운영형,웹툰 작가,액션 회차의 연출을 바꾸면 배경 3D·인물 위치·말풍선·스크롤 리듬·보조작가 일정이 연쇄 수정됨,액션 수정으로 3D 배경·인물 위치·말풍선 충돌,M04·M25·M09: 콘티·작화·배경·스크롤 변경을 함께 전파,모의 모바일 읽기·작화 검수에서 연속성·가독성 통과,M42·M40: 레이어 원본·회차·에셋 인계 확인,제공된 검수 아래 웹툰 회차 인수 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
149,운영형,저술가,수년간 집필한 비문학 원고에서 핵심 근거가 반박되고 장별 중복·인용권리·독자 난도가 드러나 구조를 다시 짜야 함,핵심 근거가 반박돼 여러 장의 논증이 흔들림,M18·M25·M34: 주장·인용·장 구조를 재편,저자가 반론·주장 축소를 수용하고 모의 전권 교정 통과,M09·M42·M46: 논증·서지·권리·독자 흐름 검수,제공된 합의·근거 아래 원고 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
150,운영형,인플루언서 (패션·뷰티·라이프),경쟁 브랜드 계약과 광고 일정이 겹치고 실제 사용 경험과 광고 문구가 달라 팬 신뢰·계약·콘텐츠 정체성이 충돌함,경쟁 브랜드 독점 약정 기간이 겹침,M25·M27: 콘텐츠·행위·기간별 약속과 이해관계 대조,두 브랜드 모두 일정·범위 변경을 거부,M33·M38: 위반 없이 두 계약을 이행할 수 없음을 확인,기존 두 협업의 동시 이행 불가능,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
151,운영형,인플루언서 (지식·비즈니스),투자한 회사나 유료 자문 고객을 평가하면서 일반 독자가 해설을 개인별 조언으로 받아들여 신뢰·이해관계·상품 판매가 얽힘,본인 투자기업에 대한 해설과 유료 상품 판매가 충돌,M18·M27·M38: 사실·견해·이해관계·대상 범위를 분리,모의 독자 질문에서 개인별 조언으로 오해한 부분 확인,M09·M42·M46: 주장·예시·표시·질의응답 수정,주어진 근거·반응 아래 콘텐츠 경계 정리 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
152,운영형,커뮤니티 운영자,오래된 핵심 회원과 신규 회원이 충돌하고 신고·조작 계정·운영진 이해관계 때문에 같은 규칙 적용도 불공정하게 느껴짐,신고 대상 발언의 앞뒤 맥락과 운영진 이해관계가 추가 확인,M18·M31·M38: 맥락·반복행동·결정권·이의절차 재검토,일부 회원은 제재를 수용하나 장기 신뢰·참여는 미관측,M25·M51: 중재·제재·이의·후속 반응을 연결,"운영 결정 경로 있음, 커뮤니티 신뢰 회복은 추적 필요",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
153,운영형,온라인 셀러 (자체 브랜드·D2C),광고가 성공해 주문이 급증했지만 품질 편차·배송 지연·환불이 늘고 생산 선금 때문에 매출 증가와 함께 현금이 부족해짐,매출 급증과 함께 환불·제조 선금·지원비도 증가,M33·M53: 단위경제·운전자금·품질 비용 통합,가격·광고·물량·납기 조정 및 추가 자금이 모두 불허,M34·M35: 매출 확대가 현금 고갈을 앞당기는 조건 표시,원래 성장·가격·납기·현금 목표 동시 달성 불가,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
154,운영형,온라인 셀러 (소싱·오픈마켓),여러 마켓에서 같은 재고가 동시 판매되고 공급사 이미지·인증·반품 조건이 불완전해 품절 취소와 제재·손실이 겹침,두 마켓이 같은 마지막 재고를 예약,M25·M52: 가용 재고·주문·취소 상태를 통합,모의 원천 조회에서 한 주문만 확정되고 다른 주문은 취소 가능,M10·M35·M42: 중복 이행 방지·고객 안내·환불·정산 대사,제공된 시스템 응답 아래 주문 예외 처리 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
155,운영형,라이브커머스 진행자,방송 중 가격·쿠폰·재고가 바뀌고 시연 결과가 기대와 달라 잘못된 효능·수량을 말할 위험이 생김,방송 중 쿠폰 종료·품절·시연 결과 변화,M08·M18·M38: 현재 가격·재고·효익 사실을 즉시 재확인,모의 판매 시스템·시연 입력이 변경 사실을 확인,M10·M42: 잘못된 안내 정정·혜택·주문 인계 대조,제공된 실시간 입력 아래 판매 안내·정정 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
156,운영형,구매대행·리셀러,주문 뒤 가격이 뛰고 판매자 진위·병행수입 조건·파손·반품 운임이 불명확해 선결제 고객과 손실 부담이 충돌함,판매자 진위와 수입·반품 조건이 확인되지 않음,M18·M26·M53: 진위·거래 가능·총비용과 대안 분리,원판매자가 증빙 제공을 거부하고 검수도 불가,M35·M38·M39: 조달 보류·대체·환불 범위와 고객 결정 연결,"검토·고객 대응 가능, 상품 확보·진위 확인 완료 불가",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
157,운영형,작곡가,광고 길이·가창 음역·영상 타이밍이 바뀌고 공동작업자의 샘플·지분·원본이 정리되지 않아 수정·발매가 막힘,영상 길이·가창 음역 변경과 샘플 권리 문제 발견,M22·M25·M55: 구조·조성·편성·자산 대안 재설계,대체 자산 권리 확인·모의 청취·세션 재열기 통과,M09·M42·M40: 악보·MIDI·세션·스템·크레딧 검수,제공된 권리·청취 응답 아래 음악 납품 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
158,운영형,일러스트레이터,책의 여러 장면에서 인물·빛·소품이 일관돼야 하고 표지·인쇄·굿즈 변형과 수정 요청이 겹침,연속 장면에서 인물 소품·빛·크기 불일치,M23·M25·M09: 캐릭터·장면 관계를 기준으로 관련 컷 수정,모의 실크기 출력·레이어 편집 검수 통과,M42·M40: 원본·인쇄·변형·수정 지침 인계,제공된 시각 검수 아래 삽화 납품 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
159,운영형,인디게임 개발자,작은 팀이 출시를 서두르는데 게임은 실행돼도 초반 재미·저사양 성능·세이브·상점 약속·지원 여력이 동시에 부족함,출시 빌드는 실행되지만 초반 이탈·구세이브 손상 발견,M22·M25·M54: 핵심 재미·온보딩·저장 복구를 우선 수정,개발자가 출시일·모든 콘텐츠·무결함을 고수하고 남은 시간 부족,M33·M35: 필수 수정·범위·일정 선택지 제시,원래 출시 범위·기한·품질 동시 달성 불가,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
160,운영형,앱 개발자 (개인 앱),OS 업데이트와 결제 복원 오류가 겹쳐 기존 구독자가 기능을 잃고 스토어 설명·개인정보·현금 흐름까지 수정해야 함,OS 갱신 후 구독 복원·기존 계정 기능 접근 오류,M25·M31·M35: 구매·계정·권한·복원 상태 분리,모의 기존 설치·재설치·해지·복원 시험 통과,M10·M42·M40: 앱·스토어 설명·지원·기존 고객 인수 연결,제공된 스토어·기기 응답 아래 앱 수정 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
161,운영형,SaaS 운영자,대형 고객 요구로 개발을 집중한 사이 작은 고객 이탈·장애·클라우드 비용·지원 부채가 늘고 갱신·현금이 악화됨,대형 고객 개발 약속 때문에 서비스 장애·지원비·이탈 증가,M33·M53: 제품·고객·운영·현금의 결합 효과 재산정,위임자가 범위 축소·가격 변경을 수락하지만 효과 관측 전,M34·M35·M51: 출시·고객 합의·서비스·수익을 순차 추적,"운영 조정 경로 있음, 갱신·유지·현금 개선 성과는 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
162,운영형,오픈소스 메인테이너,핵심 의존 취약점과 호환성 파괴가 겹치고 유지보수자는 부족한데 이용 조직은 빠른 패치를 요구함,취약 의존 패치가 기존 API 호환을 깨뜨림,M25·M35·M43: 보안 영향·지원 버전·비공개 수정·이전 경로 분리,모의 유지버전·신규버전 회귀·패키지 검증 통과,M31·M42·M40: 공개 일정·릴리스·권고·이전 문서 인계,제공된 검증 아래 패치·릴리스 준비 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
163,운영형,개인 투자자 (장기),사업 가설이 흔들리는데 가격은 싸 보이고 개인의 주택자금 필요·집중 투자·세금·유동성이 매도 판단과 충돌함,투자 가설이 반증되고 주택자금 지급일이 앞당겨짐,M18·M33·M53: 가치 가정·유동성·집중 위험 재평가,사용자는 손실 없이 즉시 현금화와 기존 상승 여력 유지를 요구,M34·M38: 현재 가격·유동성에서 불가능한 동시 조건 제시,원래 투자·현금 목표 조정 필요,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
164,운영형,개인 투자자 (단기 매매),급변장에서 호가 공백·부분 체결·증거금 변화·연결 장애가 겹쳐 백테스트와 다른 손실·미결 주문이 생김,호가 공백·부분 체결·증거금 변화와 연결 장애 동시 발생,M08·M10·M25: 주문·체결·노출을 분리하고 재전송 방지,"외부 조회가 미결 주문과 잔고를 확정, 위임 한도 안 축소 가능",M33·M42: 실제 체결·수수료·잔여 노출로 정산,제공된 시장 응답 아래 위험 축소·대사 경로 있음; 수익 보장 아님,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
165,운영형,엔젤 투자자,창업팀의 지표가 계약·입금과 다르고 지분·우선권·후속 희석·공동창업자 갈등 때문에 성장성만으로 투자 여부를 정할 수 없음,고객 지표가 실제 입금과 다르고 우선권·희석 조건 추가 확인,M18·M25·M53: 지표·캡테이블·후속자금·회수 가정 재작성,창업팀이 핵심 계약·지식재산 권리 원본 제공 보류,M34·M38·M39: 투자 보류·조건부 실사·미확인 범위 제시,"투자 메모·협상안 가능, 실사 완료·거래 판단은 외부 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
166,운영형,부동산 투자자·임대 운영자,공실·연체·설비 수선·차환 만기가 겹치고 임차인 권리·보증금·공동소유자 이견 때문에 장부 수익률과 실제 현금이 갈림,공실·연체·수선비·차환 만기가 함께 악화,M25·M33·M53: 보증금·필수 수선·현금·매각 대안 통합,임대료·수선·차환·추가출자·매각 조건 모두 변경 불허,M34·M38: 현금 고갈 시점과 필수 의무 충돌 제시,원래 운영·보유·현금 목표 동시 달성 불가,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
