번호,유형,분야,직무,실제 업무,복합 에피소드,필요한 자료,전문가 판단·작업,산출물·실행,실패 조건,재료별 보완,업무 특성 근거 URL,검토 수준
106,고용형,개발,게임 개발,게임 플레이·클라이언트·서버 구현; 최적화·라이브 패치,네트워크 지연 중 아이템 거래와 전투 보상이 겹쳐 복제가 생기고 패치가 기존 저장과 저사양 성능을 깨뜨림,게임규칙·상태·에셋·저장·네트워크·성능·경제로그,권위 상태·거래 불변조건 확인 → 재현·수정 → 지연·치트·저장 이전·실플레이 검증,"게임 빌드·패치, 성능·네트워크·저장 회귀 결과",실행 성공만 보고 재미·동기화·경제·기존 저장 손상을 놓치면 실패,"M54 실플레이·지연 시험, M25 게임 상태, M55 에셋·M42 엔진 호환, M35·M42 라이브 복구 필요",https://www.onetonline.org/link/summary/15-1252.00 | https://www.onetonline.org/link/summary/15-1255.01,문서상 책임 배치·보완 분석 / 실제 실행 미검증
107,고용형,개발,임베디드·펌웨어,장치 제어·통신 펌웨어; 하드웨어 연동·업데이트,전원 불안정 중 펌웨어 갱신과 센서 오류가 겹쳐 장치가 부팅 불능이거나 잘못된 출력 상태에 머물 수 있음,회로·데이터시트·타이밍·버스·메모리·센서·실기기 로그,제어·시간·전원 제약 정의 → 부트·오류·안전상태 설계 → HIL·전원차단·실기기 검증,"펌웨어·설정·갱신물, 타이밍·오류·장치 시험 기록",시뮬레이터 성공을 전기·타이밍·실장 환경 검증으로 바꾸면 실패,"M21 하드웨어 규격, M54 HIL·실측, M08 실시간 제약, M39 장비·현장 인수 필요",https://www.onetonline.org/link/summary/17-2061.00 | https://www.onetonline.org/link/summary/15-1252.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
108,고용형,개발,QA·테스트 엔지니어,위험 기반 테스트 설계; 결함 재현·출시 판단,결제 개편의 자동 테스트는 모두 통과하지만 테스트 데이터가 정상 패턴뿐이고 운영 로그에는 간헐적 환불 불일치가 있음,요구·변경영향·장애이력·데이터·환경·테스트·운영 징후,위험·오라클·누락 조합 확인 → 독립 재현·탐색·경계 시험 → 결함 영향·잔여 위험으로 출시 판단,"테스트 전략·재현 자료·결함대장, 회귀·출시 의견",구현을 그대로 확인하는 테스트 수·통과율을 품질 증거로 삼으면 실패,"M49 독립 오라클·보호 사례, M54 환경·장애 주입, M43 결함 판단, M51 누락 추적 필요",https://www.onetonline.org/link/summary/15-1253.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
109,고용형,데이터·AI,데이터 엔지니어,데이터 수집·변환·제공; 품질·계보·재처리 운영,원천 스키마 변경과 지연 이벤트·삭제 요청이 겹쳐 매출 집계가 중복되고 재처리하면 이미 삭제한 정보가 살아남,원천계약·스키마·이벤트시간·키·계보·품질·삭제범위,의미·시간·중복·삭제 정책 확인 → 호환 변환·재처리 설계 → 하류 영향·수치·삭제 전파 검증,"파이프라인·데이터계약, 품질·계보·재처리 기록",파이프라인 녹색만 보고 의미 오류·중복·삭제 복원을 놓치면 실패,"M52 데이터계약·계보, M25 시간·상태, M31·M32 삭제 경계, M35·M42 재처리 필요",https://www.onetonline.org/link/summary/15-1243.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
110,고용형,데이터·AI,데이터 분석가,업무 지표·분석; 의사결정 근거·실험 해석,매출 감소 원인이 가격 변경처럼 보이나 추적 누락·채널구성·환불 시점이 바뀌어 집계마다 반대 결론이 나옴,지표정의·원천·SQL·코호트·정책변경·추적·실험,수치 대사·분모·표본 확인 → 교란·분해·대안 설명 비교 → 결정에 필요한 범위·불확실성 제시,"재현 분석·대시보드, 원인 가설·검증안·의사결정 메모",상관·계측 변화를 원인으로 단정하거나 유리한 분모만 고르면 실패,"M52 지표·대사, M53 통계, M54 인과 검증, M18 결론 근거 필요",https://www.onetonline.org/link/summary/15-2051.00 | https://www.onetonline.org/link/summary/13-1161.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
111,고용형,데이터·AI,데이터 사이언티스트,예측·인과·최적화 모델 개발; 검증·업무 적용,이탈 모델 정확도가 높지만 미래 정보를 쓰고 개입 대상 선정이 비용·편향·기존 영업 행동 때문에 실제 성과를 악화시킴,목표·시점·라벨·특성·표본·개입·비용·업무정책,결정과 예측 목표 구분 → 누출·선택편향·검증 분할 점검 → 배포 가능한 기준선·개입 효과 비교,"재현 모델·검증, 개입·비용 분석, 적용·모니터링 조건",오프라인 정확도를 업무 효과로 간주하거나 미래 정보를 쓰면 실패,"M53 통계·목적함수, M54 시간분할·개입 시험, M52 라벨·계보, M51 성과 감시 필요",https://www.onetonline.org/link/summary/15-2051.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
112,고용형,데이터·AI,AI·ML 엔지니어,ML·LLM 서비스 구축; 배포·평가·모델 운영,고객 문서 RAG가 그럴듯한 답을 내지만 권한 변경·검색 누락·지시문 오염·모델 업데이트가 겹쳐 다른 고객 자료와 오답을 반환함,문서·권한·검색·프롬프트·모델·평가셋·비용·로그,실패를 검색·권한·추론·도구로 분해 → 대표·적대 평가 → 버전 전환·관측·복구 설계,"모델 서비스·검색 파이프라인, 평가·배포·회귀 자료",평균 답변 점수로 권한 누출·근거 부재·비용·변동성을 가리면 실패,"M18 근거, M31·M32 격리, M49 평가, M42·M50 변경관리, M10 서빙 필요",https://www.onetonline.org/link/summary/15-2051.00 | https://www.onetonline.org/link/summary/15-1252.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
113,고용형,인프라·보안,인프라·DevOps,인프라·CI/CD 운영; 신뢰성·용량·비용·복구,리전 장애 때 백업은 있으나 키·DNS·외부 의존과 복구 용량이 없어 재해복구가 실패하고 잘못된 자동 확장이 비용을 키움,구성·의존·SLO·부하·비용·백업·키·배포·사고,실패영역·복구 전제 확인 → 실제 복구·부하 시험 → 전환·축소·배포 통제 개선,"IaC·파이프라인, 복구·운영 절차, 시험·비용·사고 개선",백업 존재와 설정 문서를 복구 성공으로 세면 실패,"M35·M42 실제 복구, M33 공동 장애·비용, M54 재해 시험, M10 배포·관측 필요",https://www.onetonline.org/link/summary/15-1244.00 | https://www.onetonline.org/link/summary/15-1252.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
114,고용형,인프라·보안,IT 운영,계정·단말·업무시스템 지원; 변경·장애·자산 관리,조직개편과 퇴사자 정리가 겹쳐 업무용 공유계정·라이선스·장비가 남고 급한 복구 요청이 권한 검증을 우회하게 만듦,인사변동·계정·자산·티켓·접근·라이선스·변경이력,신원·권한·영향 확인 → 복구·회수·재할당 → 사용자 검수·기록·반복원인 개선,"처리·권한변경 기록, 자산대장, 운영 절차·개선안",티켓 종료만 보고 실제 접근 잔존·업무 미복구·비용 누수를 놓치면 실패,"M31·M32 신원·권한, M25 자산·티켓 상태, M35·M42 복구, M47 변경 증거 필요",https://www.onetonline.org/link/summary/15-1244.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
115,고용형,인프라·보안,정보보안 (침해 대응),보안 사고 탐지·조사; 봉쇄·복구·영향 확인,탈취 계정이 클라우드·백업에 접근하고 로그 일부가 지워져 즉시 차단하면 증거·업무 연속성을 함께 잃을 수 있음,원본로그·타임라인·계정·호스트·네트워크·자산·백업,증거 보존·범위 가설 → 확산·업무 영향별 봉쇄 → 근절·복구·재침투 확인·통지 협업,"사고 타임라인·증거목록, 대응·복구 기록, 원인·영향 보고",경보 소멸을 근절로 여기거나 근거 없이 피해 범위를 확정하면 실패,"M18 증거·불확실성, M35 대응 순서, M35·M42 복구, M33 결합 영향, M10 포렌식 도구 필요",https://www.onetonline.org/link/summary/15-1212.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
116,고용형,인프라·보안,정보보안 (취약점 관리),취약점 식별·우선순위; 조치·예외·재검증,같은 취약점이 외부 노출 서비스와 교체 불가 장비에 있고 스캐너 점수는 높지만 실제 악용 경로·업무 영향은 다름,자산·버전·노출·스캔·악용조건·업무·패치·보완통제,오탐·실제 경로 확인 → 노출·영향·변경 위험 우선순위 → 패치·완화·예외 후 재검증,"취약점·예외대장, 조치계획·검증 증거",CVSS 순위·패치 건수만으로 위험 해소를 주장하거나 승인 없이 공격하면 실패,"M18 진위, M33 맥락별 위험, M32 시험 권한, M54 조치 검증 필요",https://www.onetonline.org/link/summary/15-1212.00 | https://docs.github.com/en/code-security/concepts/vulnerability-reporting-and-management/repository-security-advisories,문서상 책임 배치·보완 분석 / 실제 실행 미검증
117,고용형,인프라·보안,정보보안 (거버넌스·인증),보안 정책·통제 설계; 인증·감사·위험 관리,인증 증빙은 갖췄으나 새 SaaS·위탁사·해외팀이 통제 범위 밖이고 담당자가 점검 시점에만 설정을 맞춤,범위·자산·처리흐름·위탁·통제·증빙·예외·사고,실제 범위·통제 목적 확인 → 설계·운영 효과 표본검사 → 격차·책임·개선·감사 대응,"통제체계·적용표, 위험·예외대장, 운영 증거·개선계획",문서 존재·인증 획득을 실제 보안 효과로 대체하면 실패,"M26 적용 범위, M18 운영증거, M49 통제 효과 평가, M35 개선 추적 필요",https://www.onetonline.org/link/summary/15-1212.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
118,고용형,디자인,UI/UX·제품 디자인,사용자 조사·흐름·인터페이스 설계; 사용성 검증,숙련자 중심 업무도구를 단순화했더니 초보자는 편해도 전문가의 대량 작업·보조기술·오류 복구가 막힘,사용자 관찰·과업·역할·빈도·오류·접근성·제품 제약,핵심 과업·집단별 비용 확인 → 정보구조·상태·대안 설계 → 실제 과업·접근성 검증·개선,"조사·여정·설계 근거, 프로토타입·디자인 시스템, 사용성 결과",화면 미감·만족도만으로 과업 성공·효율·복구를 판단하면 실패,"M07 사용자 관찰, M34 설계 판단, M54 과업 실험, M36·M40·M42 상태·접근성 인수 필요",https://www.onetonline.org/link/summary/15-1255.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
119,고용형,디자인,그래픽,시각 콘셉트·캠페인 그래픽 제작; 매체별 전개,한 키비주얼을 옥외·모바일·인쇄로 펼치는데 작은 글자·색역·이미지 권리·재단 조건이 충돌함,브리프·문안·브랜드·에셋권리·매체규격·인쇄조건,메시지·위계·콘셉트 정리 → 매체별 구도·타이포 변형 → 실크기·색·출력 검수,"편집 원본·매체별 파일, 에셋·출력 명세",한 화면의 멋진 시안만 보고 가독성·실출력·편집 가능성을 놓치면 실패,"M22 시각 기준, M09 생성·편집, M55 원본자산·M40·M42 색·출력 인수, M54 실매체 검증 필요",https://www.onetonline.org/link/summary/27-1024.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
120,고용형,디자인,브랜드 디자인,브랜드 전략·아이덴티티; 접점별 일관성 설계,합병 브랜드가 기존 고객 신뢰를 지키면서 새 시장에 진입해야 하고 양사 이름·상표·문화·채널이 충돌함,시장·고객·경쟁·기존자산·상표·브랜드 구조·접점,정체성·약속·구조 결정 → 이름·시각·언어 체계 설계 → 접점·고객 반응·전환 검증,"브랜드 전략·아이덴티티, 가이드·템플릿, 전환계획",로고만 바꾸고 차별성·인식·상표 검토·실제 접점 운영을 놓치면 실패,"M34 포지셔닝, M22 브랜드 판단, M38 이해관계 조정, M55 자산·M09 가이드 전개 필요",https://www.onetonline.org/link/summary/27-1024.00 | https://www.onetonline.org/link/summary/11-2021.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
121,고용형,디자인,모션,모션 콘셉트·애니메이션; 영상·제품 움직임 제작,방송·앱·세로광고에 같은 모션을 쓰려다 프레임·안전영역·용량·움직임 민감 사용자 조건이 달라짐,보드·에셋·타이밍·음향·플랫폼·프레임·접근성,동작 의도·리듬 설계 → 리깅·합성·변형 → 실재생·렌더·축소동작 검증,"모션 원본·렌더·규격별 변형, 재생·편집 인수",정지 프레임 품질만 보고 타이밍·보간·알파·실재생 오류를 놓치면 실패,"M09 모션 제작, M21 엔진·코덱, M55 원본·M09 타임라인, M54 실재생 필요",https://www.onetonline.org/link/summary/27-1014.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
122,고용형,디자인,편집 디자인,책·보고서·인쇄물 조판; 교정·출력 관리,막판 원고·표 수정으로 페이지·색인·각주가 연쇄 이동하고 PDF는 보이지만 인쇄에서 폰트·재단 문제가 발생함,확정원고·표·이미지·스타일·판형·용지·인쇄·교정,구조·조판 규칙 정리 → 변경을 참조·페이지까지 전파 → 교정·프리플라이트·실출력 확인,"편집 원본·인쇄 PDF, 교정·출력 검수 기록",페이지별 보기만 확인해 참조·누락·넘침·인쇄 부적합을 놓치면 실패,"M25 문서 의존, M55 폰트·M35·M40 조판·출력 계약, M10 DTP 도구, M43 교정 필요",https://www.onetonline.org/link/summary/27-1024.00 | https://www.onetonline.org/link/summary/27-3041.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
123,고용형,디자인,제품 (산업) 디자인,제품 형태·사용성 설계; 제조·재료·양산 조정,보기 좋은 외장 설계가 금형 언더컷·조립 공차·발열·수리성과 충돌해 시제품은 되지만 양산 불량이 예상됨,사용자·치수·재료·구조·공차·공정·원가·시험,사용·제조 요구 결합 → CAD·구조 대안 → 시제품·조립·열·사용 시험으로 수정,"네이티브 CAD·도면·BOM, 시제품·시험·양산 인계",렌더를 제조 가능성으로 세거나 실물 검증 없이 공차·열·강도를 확정하면 실패,"M09·M55 CAD·도면·BOM 제작·자산, M53 공학 계산, M54 실물 시험, M39 제작·실측 인수 필요",https://www.onetonline.org/link/summary/27-1021.00 | https://www.onetonline.org/link/summary/17-2141.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
124,고용형,미디어,PD,프로그램·콘텐츠 기획; 제작·예산·출연·편성 총괄,주요 출연자가 촬영 직전 빠지고 취재 사실이 뒤집혀 예산·일정·방송 약속·편집 방향을 동시에 바꿔야 함,기획·대본·취재·출연·권리·예산·촬영·편성,전달 목적·사실·제작 가능성 재확인 → 대체 구성·출연·일정 비교 → 현장·편집·배포 통합 조정,"기획·제작계획·콜시트, 예산·권리대장, 최종본·납품",계획 문서만 완성하고 취재·촬영·권리·최종 편성 조건을 확보하지 못하면 실패,"M34 기획, M35 제작 의존, M38 출연·팀 조정, M39 촬영 인수, M09·M40 최종본 제작·인수 필요",https://www.onetonline.org/link/summary/27-2012.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
125,고용형,미디어,방송 작가 (구성),방송 구성·취재·대본; 현장·편집에 따른 재구성,인터뷰 내용이 기획 가설을 뒤집고 방송 분량은 줄었는데 재미를 위해 발언 맥락을 자를 압력이 생김,취재·인터뷰 원본·검증자료·구성·분량·출연·편성,핵심 이야기·사실 관계 재구성 → 장면·질문·내레이션 작성 → 원본 맥락·길이·제작 가능성 검수,"구성안·질문지·대본, 출처·수정·편집 인계",서사 완성도를 위해 인과·인용·발언 취지를 바꾸면 실패,"M18 취재 근거, M22 구성 감각, M09 대본·미디어 연계, M25 타임코드·M40 인계 필요",https://www.onetonline.org/link/summary/27-3043.00 | https://www.onetonline.org/link/summary/27-2012.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
126,고용형,미디어,에디터,원고 기획·편집; 사실·논리·문체·출판 조정,전문가 원고의 핵심 주장이 자료와 어긋나고 저자는 수정을 거부하며 마감·법적 분쟁·독자 이해가 충돌함,원고·원출처·독자·편집방침·계약·일정·권리,주장·구조·독자 장애 진단 → 사실·논리·표현 편집 → 저자 합의·교정·정정 경로 확정,"편집 원고·질의서·팩트체크, 교정·출판 인계",문장만 매끄럽게 만들고 핵심 오류·의미 변화·저자 미합의를 놓치면 실패,"M18 팩트체크, M22 편집 판단, M38 저자 조정, M25 판본·M42 교정 필요",https://www.onetonline.org/link/summary/27-3041.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
127,고용형,미디어,영상 편집자,소스 정리·서사 편집; 색·음향·자막·납품,혼합 프레임·휴대폰 HDR·다중 녹음 소스에 후반 수정이 들어와 싱크·색·자막·권리와 온라인 편집 연결이 깨짐,원본·프록시·타임코드·대본·권리·색·음향·납품규격,소스·싱크·서사 정리 → 편집·컨폼·믹스·자막 → 전체 재생·원본 재연결·규격 검수,"편집 프로젝트·마스터·자막·분리음원, QC 기록",짧은 미리보기만 보고 전체 싱크·색·누락·프로젝트 재열기를 놓치면 실패,"M09 편집, M25 타임라인·M42 코덱·컨폼, M10 편집도구, M54 전편 재생 필요",https://www.onetonline.org/link/summary/27-4032.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
128,고용형,생산·품질,생산관리,생산 일정·능력·납기 관리; 현장 실적·차질 대응,긴급 주문·설비 고장·자재 부족이 겹치고 라인별 전환·숙련·검사 제약 때문에 단순 우선순위 변경으로 납기를 맞출 수 없음,주문·BOM·공정·능력·재고·설비·인력·실적,실제 병목·진척 확인 → 제약 일정·외주·분할납품 비교 → 현장 실행·변동 재계획,"생산·자재·인력계획, 납기 조정·실적 보고",총량상 가능해도 공정 순서·전환·검사·현장 능력 때문에 실행 불가하면 실패,"M53 제약 일정, M25 WIP 상태, M35 재계획, M07·M39 현장 실적 인수 필요",https://www.onetonline.org/link/summary/11-3051.00 | https://www.onetonline.org/link/summary/17-2112.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
129,고용형,생산·품질,품질관리,검사·불량 분석; 품질 보증·시정조치,출하 합격품이 고객 공정에서 불량을 내고 측정기 차이·로트 혼입·공급사 변경 때문에 원인이 갈림,규격·샘플링·측정계·로트·공정변경·클레임·반품,격리 범위·측정 신뢰 확인 → 원인 가설·재현 시험 → 시정조치·효과·추적성 확인,"부적합·원인·시정 보고, 검사·추적·고객 대응 자료",재검 합격만으로 원인 제거를 선언하거나 측정오차·유출 범위를 놓치면 실패,"M18 증거·원인가설, M54 측정계·재현, M25 로트 추적, M35 시정 효과 필요",https://www.onetonline.org/link/summary/11-3051.00 | https://www.onetonline.org/link/summary/17-2112.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
130,고용형,생산·품질,공정 엔지니어,공정 설계·조건 최적화; 수율·생산성·안정성 개선,속도를 높여 평균 생산량은 늘었지만 원재료 편차·설비 마모와 상호작용해 장기 수율과 다음 공정 품질이 악화됨,공정도·레시피·설비·재료·측정·수율·실험·변경,측정·변동원·공정 메커니즘 확인 → 다인자 실험·제약 최적화 → 파일럿·장기·후공정 검증,"공정 조건·표준서, 실험·능력 분석, 양산 변경 인계",짧은 평균 개선을 안정된 양산 효과로 바꾸면 실패,"M53 공정모형, M54 실험·장기 검증, M21 공정지식, M39 실측·파일럿 필요",https://www.onetonline.org/link/summary/17-2112.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
131,고용형,물류·SCM,물류,운송·창고·배송 운영; 예외·클레임 처리,항만 지연·냉장 이탈·부분 분실이 겹쳐 고객 납기와 대체운송 비용·보험·반품 처리를 함께 결정해야 함,주문·운송·위치·온도·인수·계약·운임·클레임,실제 위치·품질·책임 확인 → 우회·분할·대체·회수 비교 → 고객·운송사 실행·정산,"운송·복구계획, 인수·온도·클레임 기록, 비용 대사",시스템 배송완료를 실제 정상 인도로 세거나 품질 이탈을 일정 문제로만 보면 실패,"M07 센서·인수 증거, M35 예외계획, M53 운송 대안, M38 운송사·고객 조정 필요",https://www.onetonline.org/link/summary/13-1081.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
132,고용형,물류·SCM,재고·자재,재고·자재 수불·실사; 결품·과잉·추적 관리,장부상 재고는 충분하지만 불량 격리·위탁·예약·유통기한·로트 위치 때문에 실제 생산에 쓸 수 없는 자재가 많음,수불·실사·위치·소유·예약·로트·유효기간·품질상태,수량·소유·가용 상태 대사 → 차이 원인·보충·재배치 결정 → 현장 이동·통제 검증,"재고 대장·실사조정, 보충·처분 계획, 추적·통제 개선",총수량만 맞추고 실제 가용성·소유권·로트 추적을 놓치면 실패,"M25 재고 상태, M52 수불 대사, M07 실사 인수, M53 보충·소진 필요",https://www.onetonline.org/link/summary/13-1081.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
133,고용형,물류·SCM,SCM 계획 (수요예측·S&OP),수요예측·공급계획; S&OP 합의,영업의 낙관 예측·판촉·장기 조달·생산 능력·현금 부족이 충돌하고 품절로 관측 수요 자체가 낮게 잡힘,판매·실수요·품절·판촉·리드타임·능력·재고·현금,편향·검열 수요·제약 확인 → 수요·공급·재무 시나리오 → 합의된 계획·전환 신호·책임 설정,"수요·공급·재무 통합계획, 시나리오·S&OP 결정록",예측 정확도만 개선하고 서비스·재고·현금의 동시 실행 가능성을 놓치면 실패,"M53 확률·제약 계획, M33 현금·공통위험, M04·M38 부서 합의, M35 재계획 필요",https://www.onetonline.org/link/summary/13-1081.00 | https://www.onetonline.org/link/summary/11-3051.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
134,고용형,물류·SCM,수출입,수출입 서류·통관·운송; 무역 대금·조건 관리,송장·포장·원산지·신용장 조건이 서로 달라 선적은 됐지만 통관·대금회수에서 보완과 지연 비용이 발생함,계약·송장·포장·선하증권·원산지·분류·결제조건,물품·수량·가격·조건 대사 → 요건·불일치·기한 확인 → 관세사·은행·운송사 보완 조정,"무역서류·통관 인계, 하자·보완대장, 운임·대금 대사",서류별 완성만 확인하고 문서 간 일치·물품·은행 수리 조건을 놓치면 실패,"M42 무역문서 교차검수, M26 적용요건, M35 선적·회수 의존, M38 기관 조정 필요",https://www.onetonline.org/link/summary/13-1081.00 | https://www.customs.go.kr/cvnci/cm/cntnts/cntntsView.do?cntntsId=948&mi=3217,문서상 책임 배치·보완 분석 / 실제 실행 미검증
135,고용형,연구개발,R&D 연구원 (제품·기술),제품·기술 가설·실험; 성능 개선·기술 이전,연구실 성능은 좋지만 측정 오차·재현성·재료 배치·양산 공정 차이로 실제 제품 성능과 원가를 만족하지 못함,문헌·특허·실험노트·원자료·측정·재료·공정·요구,가설·대조·측정 설계 → 반복·독립 재현 → 스케일업·성능·비용·기술성 비교,"연구·실험 보고, 원자료·프로토콜, 시제품·기술이전 명세",유리한 실험·평균만 보고 재현성·부정 결과·양산 차이를 숨기면 실패,"M18 연구 근거, M53 모형·분석, M54 실험·재현, M39 장비·시제품 인수 필요",https://www.onetonline.org/link/summary/17-2141.00 | https://www.onetonline.org/link/summary/17-2112.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
136,고용형,연구개발,인허가 RA (의료기기·의약품),인허가 전략·자료 구성; 기관 질의·변경·시판 후 관리,제품 변경이 임상·성능·제조·표시 자료와 맞지 않고 국가별 경로·기관 질의가 달라 기존 자료 재사용 범위를 판단해야 함,품목·용도·분류·설계·시험·임상·품질·표시·질의,국가·제품별 경로·증거 격차 확인 → 부서 자료 일치·추가시험 계획 → 제출·질의·변경 영향 관리,"인허가 전략·제출 패키지, 근거 대응표·답변서, 변경·후속 계획",제출 문서만 갖추고 실제 증거 적합성·주장 일치·제품 변경 영향을 놓치면 실패,"M26 적용경로, M18 증거 적합성, M09·M40 규제 제출물 제작·인수, M35 시험·기관 의존 필요",https://www.onetonline.org/link/summary/13-1041.07,문서상 책임 배치·보완 분석 / 실제 실행 미검증
137,고용형,건설·부동산 개발,개발 기획 (시행),부동산 개발 사업성·인허가 기획; 토지·금융·분양 조정,토지 일부 미확보·민원·인허가 조건·공사비 상승이 겹쳐 분양가를 올려도 금융 약정과 착공 조건을 충족하지 못함,권리·도시계획·시장·설계·인허가·원가·자금·약정,사업 전제·필수 선행조건 확인 → 개발·자금·지연 시나리오 → 단계별 투자·중단·협상 판단,"사업성·자금모형, 개발·인허가 계획, 조건·위험·의사결정 자료",장부상 이익만 보고 토지·허가·현금·시기 조건을 동시에 충족하지 못하면 실패,"M53 사업·현금모형, M33 결합위험, M35 개발 의존, M39 조사·인허가 결과 인수 필요",https://www.onetonline.org/link/summary/13-1111.00 | https://www.onetonline.org/link/summary/13-2051.00 | https://www.onetonline.org/link/summary/17-1011.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
138,고용형,건설·부동산 개발,견적·적산,도면·시방 기반 수량·공사비 산정; 견적·변경 정산,도면 판본과 시방이 달라 누락·중복 수량이 생기고 공법 변경·물가·현장 조건으로 단가와 공기가 함께 바뀜,도면·BIM·시방·수량·단가·공법·현장·계약·변경,판본·범위·산정 근거 대사 → 수량·단가·간접비·공기 영향 산정 → 질의·변경·견적 검증,"내역·물량·견적서, 산출 근거·질의·변경대장",합계 정확성만 확인하고 범위 누락·중복·판본 불일치·시공 조건을 놓치면 실패,"M07·M42 도면·BIM 판독·대사, M53 수량·원가, M25 변경 의존, M39 현장 조건 인수 필요",https://www.onetonline.org/link/summary/13-1051.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
139,운영형,영상·음성,유튜버 (정보·교육),교육 주제·설명 설계; 영상 제작·학습·시청 반응 개선,조회가 잘 나오는 설명이 중요한 조건을 생략해 오개념을 만들고 초보·숙련 시청자의 이해·이탈 지점이 다름,학습목표·원출처·대본·시청구간·질문·제작자원,사전지식·오개념 분석 → 예시·시각설명·구성 제작 → 이해 확인·이탈 분석·정정,"대본·영상·보조자료, 근거·학습 확인·개선 기록",시청지속만 보고 학습·정확성·오개념을 검증하지 않으면 실패,"M21 교수·주제지식, M18 근거, M54 이해 실험, M09·M55 영상·자료 필요",https://www.onetonline.org/link/summary/27-2012.00 | https://www.onetonline.org/link/summary/13-1151.00 | https://support.google.com/youtube/answer/9314415?hl=en,문서상 책임 배치·보완 분석 / 실제 실행 미검증
140,운영형,영상·음성,유튜버 (예능·엔터),예능 포맷·캐릭터·회차 기획; 촬영·편집·시리즈 운영,반복 포맷의 반응이 떨어지고 출연자 갈등·예상 밖 촬영 결과·스폰서 요구 때문에 웃음·관계·회차 연결이 흔들림,포맷·캐릭터·촬영원본·출연조건·반응·예산·협찬,웃음·관계·긴장 구조 진단 → 구성·촬영·편집 대안 → 시청자 반응과 출연 지속성 검증,"회차안·촬영계획·영상, 시리즈·출연·성과 기록",조회수를 위해 맥락 조작·관계 소진에 기대거나 다음 회차 생산성을 잃으면 실패,"M22 예능 판단, M38 출연 조정, M39 촬영 인수, M09·M55 제작, M54 시청 반응 필요",https://www.onetonline.org/link/summary/27-2012.00 | https://support.google.com/youtube/answer/9314415?hl=en,문서상 책임 배치·보완 분석 / 실제 실행 미검증
141,운영형,영상·음성,유튜버 (리뷰·커머스),제품 검증·비교 리뷰; 구매 정보·커머스 운영,협찬사가 유리한 조건을 요구하고 샘플 편차·펌웨어 변경으로 비교 결과가 달라져 추천·제휴 매출·신뢰가 충돌함,제품·버전·시험조건·실측·가격·협찬·제휴·사용자 요구,비교 기준·이해관계 공개 → 동일 조건·반례·장기 사용 확인 → 용도별 장단점·추천 갱신,"리뷰·비교표·영상, 시험·협찬표시·정정 기록",제공 자료를 실사용으로 꾸미거나 수익 때문에 불리한 결과를 빼면 실패,"M18 검증 근거, M54 실물 비교, M27 이해관계, M39 제품 시험 인수, M09·M40 리뷰 제작·납품 필요",https://www.onetonline.org/link/summary/27-2012.00 | https://www.onetonline.org/link/summary/13-1161.00 | https://support.google.com/youtube/answer/10588440?hl=en,문서상 책임 배치·보완 분석 / 실제 실행 미검증
142,운영형,영상·음성,스트리머,실시간 방송·상호작용; 편성·커뮤니티·수익 운영,게임 장애·음향 끊김·악성 채팅·후원 요청이 동시에 들어와 방송 흐름과 대응 우선순위가 무너짐,방송상태·채팅·모더레이션·후원조건·편성·시청반응,상황·위험·콘텐츠 흐름 구분 → 즉시 응대·중재·대체 진행 → 다시보기·운영 개선,"라이브 진행·장면 전환, 운영·모더레이션·후원 기록",채팅 응답만 잘하고 실제 방송 지속·리듬·오디오·갈등 조정을 못하면 실패,"M08 실시간 다중입력, M38 상호작용, M10 방송도구, M35·M42 장애 대응, M54 라이브 리허설 필요",https://www.onetonline.org/link/summary/27-2012.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
