번호,유형,직무,온라인 위임 단위,제공받을 입력,외부·현장 의존과 제외,권한·자격 확인,직무 고유 실패 기준,내용 구체화의 책임,현재 지원 상태,출처
131,고용형,물류,"운송·복구계획·허용된 전산 배차, 제공된 인수·온도·클레임 기록 분석·비용 대사",주문·운송·위치·온도·인수·계약·운임·클레임,운송·하역·실물 인도; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,시스템 배송완료를 실제 정상 인도로 세거나 품질 이탈을 일정 문제로만 보면 실패,"M07 센서·인수 증거, M35 예외계획, M53 운송 대안, M38 운송사·고객 조정 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#131
132,고용형,재고·자재,"제공된 재고·실사 자료 대사, 보충·처분 계획·전산 처리·추적·통제 개선",수불·실사·위치·소유·예약·로트·유효기간·품질상태,창고 실사·이동·폐기; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,총수량만 맞추고 실제 가용성·소유권·로트 추적을 놓치면 실패,"M25 재고 상태, M52 수불 대사, M07 실사 인수, M53 보충·소진 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#132
133,고용형,SCM 계획 (수요예측·S&OP),"수요·공급·재무 통합계획, 시나리오·S&OP 결정록",판매·실수요·품절·판촉·리드타임·능력·재고·현금,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,예측 정확도만 개선하고 서비스·재고·현금의 동시 실행 가능성을 놓치면 실패,"M53 확률·제약 계획, M33 현금·공통위험, M04·M38 부서 합의, M35 재계획 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#133
134,고용형,수출입,"무역서류·통관 인계, 하자·보완대장, 운임·대금 대사",계약·송장·포장·선하증권·원산지·분류·결제조건,실물 선적·검수·운송; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,서류별 완성만 확인하고 문서 간 일치·물품·은행 수리 조건을 놓치면 실패,"M42 무역문서 교차검수, M26 적용요건, M35 선적·회수 의존, M38 기관 조정 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#134
135,고용형,R&D 연구원 (제품·기술),"연구·실험 설계, 제공된 원자료 분석·모의실험, 프로토콜·기술이전 명세",문헌·특허·실험노트·원자료·측정·재료·공정·요구,실험실 조작·시제품 제작·실물 시험; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,유리한 실험·평균만 보고 재현성·부정 결과·양산 차이를 숨기면 실패,"M18 연구 근거, M53 모형·분석, M54 실험·재현, M39 장비·시제품 인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#135
136,고용형,인허가 RA (의료기기·의약품),"인허가 전략·제출 패키지, 근거 대응표·답변서, 변경·후속 계획",품목·용도·분류·설계·시험·임상·품질·표시·질의,새 임상·실물 시험; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,제출 문서만 갖추고 실제 증거 적합성·주장 일치·제품 변경 영향을 놓치면 실패,"M26 적용경로, M18 증거 적합성, M09·M40 규제 제출물 제작·인수, M35 시험·기관 의존 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#136
137,고용형,개발 기획 (시행),"사업성·자금모형, 개발·인허가 계획, 조건·위험·의사결정 자료",권리·도시계획·시장·설계·인허가·원가·자금·약정,현장 실측·시공·실물 인도; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,장부상 이익만 보고 토지·허가·현금·시기 조건을 동시에 충족하지 못하면 실패,"M53 사업·현금모형, M33 결합위험, M35 개발 의존, M39 조사·인허가 결과 인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#137
138,고용형,견적·적산,"내역·물량·견적서, 산출 근거·질의·변경대장",도면·BIM·시방·수량·단가·공법·현장·계약·변경,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,합계 정확성만 확인하고 범위 누락·중복·판본 불일치·시공 조건을 놓치면 실패,"M07·M42 도면·BIM 판독·대사, M53 수량·원가, M25 변경 의존, M39 현장 조건 인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#138
139,운영형,유튜버 (정보·교육),"대본·영상·보조자료, 근거·학습 확인·개선 기록",학습목표·원출처·대본·시청구간·질문·제작자원,현장 촬영·시연; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,시청지속만 보고 학습·정확성·오개념을 검증하지 않으면 실패,"M21 교수·주제지식, M18 근거, M54 이해 실험, M09·M55 영상·자료 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#139
140,운영형,유튜버 (예능·엔터),"회차·촬영 계획, 제공되거나 허용된 생성 자산 편집·게시·채널 운영",포맷·캐릭터·촬영원본·출연조건·반응·예산·협찬,출연·현장 촬영; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,조회수를 위해 맥락 조작·관계 소진에 기대거나 다음 회차 생산성을 잃으면 실패,"M22 예능 판단, M38 출연 조정, M39 촬영 인수, M09·M55 제작, M54 시청 반응 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#140
141,운영형,유튜버 (리뷰·커머스),"제공된 시험·사용 근거의 비교·리뷰, 영상 편집·협찬 표시·정정·게시",제품·버전·시험조건·실측·가격·협찬·제휴·사용자 요구,제품 직접 사용·실물 비교시험·촬영; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,제공 자료를 실사용으로 꾸미거나 수익 때문에 불리한 결과를 빼면 실패,"M18 검증 근거, M54 실물 비교, M27 이해관계, M39 제품 시험 인수, M09·M40 리뷰 제작·납품 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#141
142,운영형,스트리머,"허용된 생성 캐릭터·제공된 영상 기반 라이브 진행, 장면 전환·모더레이션·후원 기록",방송상태·채팅·모더레이션·후원조건·편성·시청반응,실제 인물의 현장 출연; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,채팅 응답만 잘하고 실제 방송 지속·리듬·오디오·갈등 조정을 못하면 실패,"M08 실시간 다중입력, M38 상호작용, M10 방송도구, M35·M42 장애 대응, M54 라이브 리허설 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#142
143,운영형,숏폼 크리에이터,"숏폼·자막·변형본, 실험·시리즈 개선 기록",주제·시청반응·대본·소스·권리·길이·플랫폼규격,현장 촬영; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,조회만 최적화해 내용·브랜드·권리·실제 전환을 훼손하면 실패,"M22 압축 서사, M09·M55 세로영상, M54 변형 실험, M51 장기 반응 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#143
144,운영형,팟캐스터,"에피소드·전사·쇼노트, 음원·피드·권리 기록",원음·질문·전사·출처·출연동의·음향·피드·협찬,현장 녹음·출연; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,전사 텍스트만 확인하고 청취 가능성·화자·맥락·배포 오류를 놓치면 실패,"M07 오디오 입력, M09 음향 편집, M18 인용, M55 음원자산·M42 피드 검수, M10 배포 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#144
145,운영형,블로거,"글·이미지·근거, 갱신·정정·콘텐츠 계획",검색질문·원출처·문서·유입·갱신일·제휴·독자 반응,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,키워드·양만 늘리고 최신성·실제 질문 해결·독자 신뢰를 잃으면 실패,"M20 갱신, M18 출처, M22 설명·편집, M10 CMS, M51 독자 성과 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#145
146,운영형,뉴스레터 작가,"뉴스레터·근거·편집판단, 발송·구독·정정 기록",원보도·공시·출처·구독층·발행·동의·협찬·열람,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,요약량·오픈율만 보고 잘못된 해석·이해충돌·발송 동의를 놓치면 실패,"M18·M20 근거·변화, M22 편집, M27 이해관계, M10 발송, M31 구독권한 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#146
147,운영형,웹소설 작가,"회차 원고·설정·복선대장, 연재·수정 계획",설정집·인물·회차·복선·계약·일정·독자 반응,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,문장 유창성·반응만 보고 인물 일관성·복선 회수·장기 서사를 잃으면 실패,"M25 서사 상태, M22 문학 판단, M34 장기 구성, M09 원고·M25 판본, M54 독자 검토 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#147
148,운영형,웹툰 작가,"회차 원본·이미지·콘티, 에셋·수정·연재 인계",시나리오·캐릭터·콘티·배경·작화원본·폰트·일정,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,예쁜 한 컷을 만화 완성으로 세고 연속성·가독성·제작 지속성을 놓치면 실패,"M09 2D·3D 제작, M25 연속성, M04 작화 협업, M55 레이어 자산·M40·M42 스크롤 인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#148
149,운영형,저술가,"출판 원고·주석·서지, 권리·수정·개정 자료",독자·목차·원자료·초고·인용·계약·편집 의견,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,장별 문장 품질만 보고 책 전체 논증·독창성·근거·독자 이해를 놓치면 실패,"M18 근거, M25 장·주장 의존, M22 저술 판단, M09 장문·주석·M25 판본 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#149
150,운영형,인플루언서 (패션·뷰티·라이프),제공된 사용·경험·시각 자료에 근거한 콘텐츠 제작·협업·광고 표시·계정 운영,브랜드·계약·사용경험·제품·콘텐츠·팬 반응·촬영,실제 생활·제품 사용·촬영; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,경험하지 않은 사용감을 만들거나 단기 협찬으로 신뢰·계약을 훼손하면 실패,"M23 정체성·M17 관계, M27 협업 충돌, M39 실사용·촬영 인수, M09·M55 콘텐츠 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#150
151,운영형,인플루언서 (지식·비즈니스),"해설·강연·교육자료, 이해관계·근거·정정 기록",원자료·전문범위·이해관계·독자질문·상품·피드백,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,권위 있는 표현·팔로워 수를 지식 정확성과 개별 조언 적합성으로 바꾸면 실패,"M18 전문근거, M21 주제 능력, M27 이해관계, M38 설명·질의, M49 이해 평가 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#151
152,운영형,커뮤니티 운영자,"운영정책·중재·제재·이의 기록, 참여 프로그램",게시·신고·맥락·관계·규칙·제재·참여·운영권한,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,삭제 속도·회원 수만 보고 맥락·공정성·소수자 발언·장기 참여를 놓치면 실패,"M18 맥락 증거, M38 갈등 조정, M31 운영권한, M25 제재 상태, M51 신뢰 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#152
153,운영형,온라인 셀러 (자체 브랜드·D2C),"상품·판매 콘텐츠, 발주·출하 지시·지원, 제공된 물류·품질 기록과 손익·현금 관리",상품·BOM·공급·검사·주문·광고·재고·반품·현금,제조·검수·물류·실물 수선; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,광고 효율·매출만 보고 제품 적합성·반품·운전자금·고객 문제를 놓치면 실패,"M53 단위경제·현금, M35 공급·판매, M39 제조·검사 인수, M55 상품자산·M09 판매자료, M10 주문 실행 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#153
154,운영형,온라인 셀러 (소싱·오픈마켓),"상품목록·상세페이지, 전산 재고·주문·정산·반품 접수와 제공된 실물 처리 기록 대사",공급·상품권리·요건·채널·재고·주문·수수료·반품,포장·배송·반품 실물 검수; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,등록 건수만 늘리고 실재고·상품 적합성·채널별 비용·책임을 놓치면 실패,"M52 채널 대사, M25 재고·주문, M26 상품요건, M53 마진, M10 판매 실행 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#154
155,운영형,라이브커머스 진행자,"제공된 시연 자료·생성 진행자를 활용한 라이브 설명, 가격·혜택·정정·후속 안내",상품근거·시연·실재고·가격·쿠폰·질문·판매조건,실물 시연·현장 출연; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,말솜씨·주문량만 보고 시연 사실·최종가격·재고·약속 이행을 놓치면 실패,"M08 즉시 검증, M38 판매 대화, M07 시연 관측, M10 재고·가격 연계, M39 현장 수행 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#155
156,운영형,구매대행·리셀러,"허용된 구매·배송 전산 처리, 제공된 진위·검수 근거 분석, 정산·분쟁 대응",원판매·진위·구매계약·통관·가격·환율·배송·반품,진품 실물 감정·검수·배송; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,희소품 확보만 보고 가품·수입 불가·추가비용·반품 책임을 놓치면 실패,"M18 진위, M26 수입요건, M53 총비용, M39 검수 인수, M38 고객·판매자 협상 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#156
157,운영형,작곡가,"악보·MIDI·DAW 세션·마스터·스템 제작과 제공된 녹음 편집, 크레딧·권리자료",브리프·레퍼런스·악보·세션·음원·타임코드·권리,실제 연주·현장 녹음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,듣기 좋은 단일 음원만 내고 수정 가능성·음역·타이밍·권리·분리 납품을 놓치면 실패,"M22 음악 판단, M09 음원 제작, M09·M55 악보·세션·스템 제작·자산, M39 연주·녹음 인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#157
158,운영형,일러스트레이터,"레이어 원본·삽화·변형, 캐릭터·출력 명세",원고·콘셉트·캐릭터·스타일·장면·권리·출력규격,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,개별 이미지 미감만 보고 서사 역할·캐릭터 일관성·출력·수정성을 놓치면 실패,"M22 조형 판단, M09 생성·편집, M25 시각 연속성, M55 레이어 자산·M40·M42 출력 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#158
159,운영형,인디게임 개발자,"게임·스토어 자료·패치, 플레이·저장·호환 검증, 운영계획",빌드·플레이 관찰·범위·성능·에셋권리·스토어·예산,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,기술적 실행을 재미·판매·지속 운영 가능성으로 대체하면 실패,"M22·M54 플레이 판단, M10 빌드·배포, M53 자금, M40·M42 엔진·스토어 인수, M35 출시 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#159
160,운영형,앱 개발자 (개인 앱),"앱·스토어 자료, 과금·복원 시험, 지원·운영 기록",사용자 과업·코드·기기·결제·구독·스토어·문의·비용,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,새 설치만 확인하고 기존 고객·복원·해지·운영비를 놓치면 실패,"M25 구독 상태, M10 스토어·결제, M54 실기기·과금 시험, M40·M42 앱 인수, M53 단위경제 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#160
161,운영형,SaaS 운영자,"SaaS·요금·로드맵, 운영·보안·지원 절차, 수익·고객 성과",사용·매출·이탈·장애·지원·계약·로드맵·비용,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,기능·MRR만 보고 실제 유지·가동·지원·현금·테넌트 격리를 놓치면 실패,"M34 통합 운영 판단, M33·M53 생존·단위경제, M35·M42 서비스 회복, M35 제품·고객 의존 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#161
162,운영형,오픈소스 메인테이너,"패치·릴리스·보안권고, 변경·이전 문서, 기여·지원 정책",코드·테스트·의존·이슈·기여·라이선스·버전·보안보고,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,코드 병합을 안전한 공급·호환·유지보수 완료로 세면 실패,"M43 코드리뷰, M35 공개·배포 의존, M31 취약정보 권한, M40·M42 패키지·이전 인수, M38 기여자 조정 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#162
163,운영형,개인 투자자 (장기),"투자 메모·가치모형, 포트폴리오·실행·사후검토 기록",공시·산업·가치모형·보유·현금수요·세금·위험한도,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,그럴듯한 목표가·백테스트 수익으로 미래 수익을 보장하거나 생활자금 제약을 놓치면 실패,"M18 공시·반증, M53 가치·포트폴리오, M33 집중·현금, M34 조건부 판단 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#163
164,운영형,개인 투자자 (단기 매매),"검증 전략·주문·위험 로그, 체결·손익 대사",시세·호가·체결·주문·잔고·수수료·증거금·시장규칙,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,이론 수익을 체결 가능 수익으로 바꾸거나 주문 응답을 실제 체결로 세면 실패,"M08 시장 반응, M10 주문·체결, M25 포지션 상태, M33 결합손실, M54 슬리피지·장애 시험 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#164
165,운영형,엔젤 투자자,"실사·투자 메모, 캡테이블·조건안, 후속 점검 계획",팀·고객·코호트·계약·현금·캡테이블·지식재산·조건,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,발표자료·성장률만 보고 지표 진위·권리·현금·희석을 놓치면 실패,"M18 실사, M53 가치·희석·회수, M38 조건 협상, M33 집중·후속자금, M35 사후관리 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#165
166,운영형,부동산 투자자·임대 운영자,"제공된 부동산·임대·수선 자료 분석, 투자·운영·현금모형과 계약·대금 전산 관리",권리·임대차·보증금·대출·현장·수선·세금·시장,현장 조사·수선·시공·실물 인도; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,표면 수익률만 보고 권리·보증금 반환·필수 수선·차환 실패를 놓치면 실패,"M53 자산·현금모형, M33 결합위험, M39 현장·수선 인수, M38 임차·금융 협상, M35 운영 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#166
